方名,规范名,经典,出处,功用大类,功用小类,处方,炮制,功用,主治,方解,禁忌,化裁,附方,附注,文献,运用,用法用量,备注,ID
白蔹膏,,,《圣惠》卷十四,,,白蔹3分，矾石半两（生用），白石脂1分，杏仁1两（汤浸，去皮尖双仁，研如膏）。,上为细散，次入杏仁膏，研令匀，后入新鸡子白1枚，酥2两相和，研为膏，入瓷器中盛。,,伤寒豌豆疮愈后，满面疮瘢久不没。,,,,,,,,,,https://db.yaozh.com/fangji/10002632.html
白蔹膏,,,《鬼遗》卷五,,,白蔹2两，黄连2两，生胡粉1两。,上药治下筛，溶脂调和。,,皮肤中热痱，瘰疬。,,,,,,,,,,https://db.yaozh.com/fangji/10002633.html
白蔹散,,,《圣济总录》卷十八,,,白蔹（炮）半两，当归（切，焙）半两，附子（炮裂，去皮脐）半两，黄芩（去黑心）1两，干姜（炮）1两，天雄（炮裂，去皮脐）1两，羊踯躅半两（蒸熟，炒干）。,上为散。,,风，头项及面上白驳，渐长如癣，但白红色。,,,,,,,,,,https://db.yaozh.com/fangji/10002634.html
白蔹散,,,《普济方》卷二八五,,,白蔹、乌头（炮）、黄芩各等分。,上为末。,,痈肿。,,,,,,,,,,https://db.yaozh.com/fangji/10002635.html
白蔹散,,,《圣惠》卷六十六,,,白蔹半两，甘草半两，玄参半两，木香半两，赤芍药半两，川大黄半两。,上为细散。,,瘰疬生于颈腋，结肿寒热。,,,,,,,,,,https://db.yaozh.com/fangji/10002636.html
白蔹散,,,《鬼遗》卷二,,,白蔹2两，半夏3两（汤洗7遍，生姜浸1宿，熬过）。,上为末。,,金疮，箭在肉中不出。,,,,,,,,,,https://db.yaozh.com/fangji/10002637.html
白蔹散,,,《魏氏家藏方》卷九,,,白蔹半两，白矾（枯，别研）半两，远志半两，雄黄半两（别研），巴豆丸1分，麝香1钱（别研），白芷1两。,上为细末。,,长肉生肌。主治发背痈疽。,,,,,,,,,,https://db.yaozh.com/fangji/10002638.html
白蔹散,,,《百一》卷十六,,,天南星1两，蝎1钱，大草乌半两，白矾5文。,上为细末。,,干湿疮癣延生，或如钱成圈晕，久不愈者。,,,,,,,,,,https://db.yaozh.com/fangji/10002639.html
白蔹散,,,《鸡峰》卷二十二,,,白及半两，白蔹半两，络石半两（取干者）。,上为细末。,,敛疮。,,,,,,,,,,https://db.yaozh.com/fangji/10002640.html
白蔹散,,,《鸡峰》卷四,,,白蔹半两，白及半两，黄芩半两，当归半两，芍药半两，吴茱萸半两。,上为细末。,,肾脏风毒流注，脚膝生疮，痛痒有时。,,,,,,,,,,https://db.yaozh.com/fangji/10002641.html
白蔹散,,,《圣惠》卷六十八,,,白蔹2两，黄芩2两，莽草（艾叶）2两，地松3两，石灰5两，狗头骨5两（烧灰）。,上为细散。,,金疮久不愈。,,,,,,,,,,https://db.yaozh.com/fangji/10002642.html
白蔹散,,,《普济方》卷二三九引《肘后方》,,,芜荑6分，狼牙4分，白蔹2分。,上药治下筛，以苦酒2合，和1宿。,,寸白虫为病，令人眼光无泽，脚膝少力。,,,,,,,,,,https://db.yaozh.com/fangji/10002643.html
白蔹散,,,《医学入门》卷八,,,白蔹。,,,收敛疮口。,,,,,,,,,,https://db.yaozh.com/fangji/10002644.html
白蔹散,赤小豆,,《外台》卷二十六引《古今录验》,,,赤小豆4分，黄耆3分，芍药2分，白蔹2分，黄芩3分，桂心3分，附子（炮）2分，牡蛎2分（熬）。,上为散。,,十年痔，如鼠乳，脓出，便作血剧。,,,,,,,,,,https://db.yaozh.com/fangji/10002645.html
白蔹散,,,方出《千金》卷四，名见《圣济总录》卷一五二,,,鹿茸1两，白蔹18铢，狗脊半两。,上药治下筛。,,漏下色白。,,,,,,,,,,https://db.yaozh.com/fangji/10002646.html
白蔹散,,,《圣惠》卷二十四,,,白蔹3两，天雄3两（炮裂，去皮脐），商陆1两，黄芩2两，干姜2两（炮裂，锉），踯躅花1两（酒拌，炒令干）。,上为细散。,,白癜风，遍身斑点瘙痒。,,,,,,,,,,https://db.yaozh.com/fangji/10002647.html
白蔹散,赤小豆散,,方出《肘后方》卷三，名见《千金》卷八,,,白蔹2分，附子1分。,上为末。,,"中风肿痹，风痹筋急，肝痹,展转易常处。",,忌猪肉、冷水。,,,,,,,,https://db.yaozh.com/fangji/10002648.html
白蔹汤,,,《圣济总录》卷六十八,,,白蔹3两，阿胶2两（炙令燥）。,上为粗末。,,吐血不止。,,,,,,,,,,https://db.yaozh.com/fangji/10002649.html
白蔹汤,,,《圣惠》卷六十一,,,白蔹1两，黄芩1两，赤芍药1两，丹参1两。,上锉细。,,痈肿溃后。,,,,,,,,,,https://db.yaozh.com/fangji/10002650.html
白蔹贴,,,《医心方》卷十五引《效验方》,,,大黄3分，黄芩3分，白蔹3分，芍药2分，赤石脂1分。,上药治下筛。,,卒痈肿。,,,,,,,,,,https://db.yaozh.com/fangji/10002651.html
白蔹丸,,,方出《圣惠》卷七十三，名见《济生》卷六,,,鹿茸1两（去毛，涂酥，炙令黄），白蔹3分，狗脊半两（去毛）。,上为末，以醋煮面糊为丸，如梧桐子大。,,"妇人漏下白色不绝,室女冲任虚寒。",,,,,,,,,,https://db.yaozh.com/fangji/10002652.html
白蔹丸,,,《重订严氏济生方》,,,"鹿茸（醋蒸，焙）60克, 白蔹, 金毛狗脊（燎去毛）各30克。",上为细末，用艾煎醋汁，打糯米糊为丸，如梧桐子大。,,室女冲任虚寒，带下纯白。,,,,,,,,,,https://db.yaozh.com/fangji/10002653.html
白蔹丸,,,《圣惠》卷六十六,,,白蔹1两，黄耆1两（锉），木香1两，枳壳1两（麸炒微黄，去瓤），玄参1两，乌蛇2两（酒浸，去皮骨，炙令黄），斑蝥14枚（去头足翅翎，以糯米拌炒，令米黄）。,上为末，炼蜜为丸，如梧桐子大。,,瘰疬结肿有头，脓水不止。,,,,,,,,,,https://db.yaozh.com/fangji/10002654.html
白蔹熁药方,,,《圣济总录》卷一四五,,,白蔹1两，白及1两，白芷1两，碧芦皮（炙黄）1两。,上为末，鸡子清拌石灰炒干后，入前末研细。,,止血。主伤损。,,,,,,,,,,https://db.yaozh.com/fangji/10002655.html
白蔹薏苡汤,,,《千金》卷八,,,白蔹1升，薏苡仁1升，芍药1升，桂心1升，牛膝1升，酸枣仁1升，干姜1升，甘草1升，附子3枚。,,,风拘挛，不可屈伸。,,,,,,,,,,https://db.yaozh.com/fangji/10002656.html
白凉散煎,,,《医方类聚》卷六十五引《龙树菩萨眼论》,,,蕤仁、腻粉各等分，龙脑少许。,上为极细末。,,浮翳障。,,,,,,,,,,https://db.yaozh.com/fangji/10002657.html
白灵丹,,,《经验方》卷上,,,川贝母。,上为细末，弗使受潮。,,乳痈，红肿疼痛。,,,,,,,,,,https://db.yaozh.com/fangji/10002658.html
白灵丹,,,《青囊秘传》,,,熟石膏1两，白蜡2钱，梅片3分。,上为末。,,收口。,,,,,,,,,,https://db.yaozh.com/fangji/10002659.html
白灵药,,,《外科正宗》卷四,,,水银2两（用铅1两化开，投入水银听用），火消2两，绿矾2两，明矾2两。,上为末，投入锅内化开，炒干，同水银碾细，入泥护阳城罐内，上用铁盏盖之，以铁梁铁兜左右，用烧熟软铁线上下扎紧，用紫土盐泥如法固口，要烘十分干燥为要，架三钉上，砌百眼炉，先加底火2寸，点香1枝，中火点香1枝，顶火点香1枝；随用小罐安滚汤在傍，以笔蘸汤搽擦盏内，常湿勿干。候3香已毕，去火罐，待次日取起，开出药来，如粉凝结盏底上，刮下灵药，收藏听用。,,疮久不收口。,,,,,,,,,,https://db.yaozh.com/fangji/10002660.html
白灵药,,,《种福堂方》卷四,,,芦甘石1两，黄连1钱，黄柏2钱，黄芩2钱。,将三黄煎浓汁，将甘石放在银罐内，烧极红收汁，约9次，以甘石酥为度，晒干研细，加冰片5分。,,生肌长肉。主治口碎，下疳。,,,,,,,,,,https://db.yaozh.com/fangji/10002661.html
白灵药,,,《串雅补》卷三,,,生石膏1两，墨2钱。,上为细末。,,一切无名肿毒。,,,,,,,,,,https://db.yaozh.com/fangji/10002662.html
白苓汤,,,《医统》卷五十一,,,黄耆（炙）1钱，防风1钱，白茯苓1钱，白术1钱，麻黄根5分，甘草5分，牡蛎5分，小麦5粒。,,,因虚盗汗。,,,,,,,,,,https://db.yaozh.com/fangji/10002663.html
白龙丹,,,《准绳?类方》卷七,,,炉甘石1钱，玄明粉5分，硼砂3分，片脑1分。,上为细末。,,一切火热眼及翳膜胬肉。,,,,,,,,,,https://db.yaozh.com/fangji/10002664.html
白龙丹,,,《丹溪心法附余》卷一,,,川芎12两，防风12两，滑石1斤，草乌10两（生用），两头尖8两，甘草8两，川乌4两，桔梗4两，寒水石4两，何首乌2两4钱，茴香1两7钱，广木香1两半，地骨皮1两7钱，白及1两4钱，藁本1两，甘松1两，白芷1两，香附子1两，良姜1两，薄荷1两，当归1两，白芍药1两，羌活1两，川椒（去子，炒）1两，广零陵香1两，藿香叶1两，全蝎（不炒）1两，细辛1两，荆芥穗1两，甘菊花1两，麻黄（去根）1两，人参7钱，升麻7钱，天麻7钱，僵蚕（炒断丝）7钱，干葛7钱，蕲州白花蛇1条（去头尾，酒浸3日，去骨皮，将肉焙干，为末,上为末，打糊，蛇酒为丸，如弹子大，滑石为衣，晒干收用。,,,,,,,,,,,,https://db.yaozh.com/fangji/10002665.html
白龙丹,,,《博济》卷二,,,雷丸末2钱，甘遂末3钱，牵牛1两（杵，取末6钱，不用再罗者），龙脑少许，粉霜4钱，轻粉4钱（入白面少许，3味同研令匀细，滴水和作饼子，于慢火内煨令热，放冷，再研令细）。,上为细末，研令匀，入青州枣煮熟，取肉和为丸，如绿豆大。,,化痰涎，利胸膈，逐风秘。,,,,,,,,,,https://db.yaozh.com/fangji/10002666.html
白龙丹,,,《本草纲目》卷十一引《经验方》,,,枯明矾。,上为末，飞罗面醋打糊为丸，如梧桐子大。,,泄泻下痢。,,,,,,,,,,https://db.yaozh.com/fangji/10002667.html
白龙丹,,,《眼科全书》卷六,,,芒消1钱，朱砂1分，麝香1分，冰片1分。,芒消用白消，放于销银锅内，用新瓦盖口，炭火溶化，倾于碗中，凝成，拣白玉色者，取起听用，并别药同研细末。,,赤目后生翳膜。,,,,,,,,,,https://db.yaozh.com/fangji/10002668.html
白龙丹,,,《医部全录》卷二九一,,,明枯矾,上为末，飞罗面酢打糊为丸，如梧桐子大。,,疟疾寒热。,,,,,,,,,,https://db.yaozh.com/fangji/10002669.html
白龙膏,验方千捶膏,,《全国中药成药处方集》（西安方）,,,蓖麻仁12两，没药5钱，乳香5钱，轻粉5钱，铅粉5钱，杏仁3钱，铜绿3钱，松香1斤4两。,各药入石臼内捣千余下，以和匀融粘为度，收贮瓷罐中。,,皮肤疮疖及由湿毒引起之暴发疮肿。,,,,,,,,,,https://db.yaozh.com/fangji/10002670.html
白龙膏,,,《御药院方》卷十,,,沉香2钱半，白檀1钱半，白茯苓（去皮）1钱半，木香1钱半，白附子1钱，桔梗1钱，白及2钱，白蔹半两，白芷1钱半，白薇1钱，白术1钱半，黄耆2钱半，川芎1钱半，甘草2钱，防风2钱半，白芍药2钱半，当归（洗，焙）半两，生干地黄1钱，瓜蒌根1钱半，杏仁（汤浸，去皮尖）2钱，桑白皮2钱，桃仁（汤浸，去皮尖）2钱，木鳖子（去壳）2钱半，人参（去芦头）2钱半，木通2钱半，独活2钱半，川升麻2钱半，槐白皮2钱半，零陵香叶2钱半，苦参1钱，腊日澄清脂麻油1斤2两，上好瓦粉14两。,上为粗末，用上项油浸7日7宿，于净石锅或银器中以慢火煎，候白芷焦黄色，放温，以新绵滤去滓，于瓷罐子内密封，澄3日3宿，候取出倾于锅内，以慢火轻温，再滤去滓，倾在上好瓷碗中，用慢火再熬动，次下黄蜡14两，用竹蓖子不住手搅令匀，放温，次入瓦粉再搅令匀，以慢火再轻熬动，抬下搅令匀，续次再上火，3日方欲成膏，于瓷盒内盛密封。,,,,,,,,,,,,https://db.yaozh.com/fangji/10002671.html
白龙膏,,,《外科精义》卷下,,,轻粉5钱（另研），白薇1两，白芷1两，白蔹1两，黄耆1两，商陆根1两，柳白皮1两，桑白皮1两，乳香2两（另研），定粉（另研）8两，黄蜡8两，杏子油1斤（如无，用脂麻油）。,上7味锉，油内揉浸3日，于木炭火上煎，令白芷黄色，滤去滓，于油中下黄蜡、乳香后，溶开出火，再滤，候微冷，下轻粉、定粉急搅，至冷，瓷盒内收贮。,,清血脉，通气脉，消毒败肿，止痛生肌。主头面五发恶疮及烧汤冻破溃烂。,,,,,,,,,,https://db.yaozh.com/fangji/10002672.html
白龙膏,,,《古今医鉴》卷十六引陈仪宾方,,,黄蜡2两，黄香2两（为末，去黑渣不用），香油3两（炖温），乳香末5分，没药末5分。,先将蜡入瓷碗内，慢火化开，用箸敲碗边，续续入黄、香、乳、没，取碗离火，入温香油于内，搅匀待冷，入水缸内，去火毒。,,杖疮，及远年近日一切顽疮。,,,,,,,,,,https://db.yaozh.com/fangji/10002673.html
白龙膏,,,《回春》卷八,,,香油4两，官粉1两（研细），黄蜡1两。,先将香油煎数沸，再入官粉，次入黄蜡溶化，搅匀退火，待药将皱面，用厚连四纸剪大小不一，拖药在上收候。,,背疽及糜疮。,,,,,,,,,,https://db.yaozh.com/fangji/10002674.html
白龙膏,,,《遵生八笺》卷十八,,,白及1两，五倍子（炒）5钱，白蔹3钱。,上为末。,,各样疮肿症，或腿或臂。,,,,,,,,,,https://db.yaozh.com/fangji/10002675.html
白龙膏,,,《外科大成》卷二,,,麻油20两，大附子2个，川山甲10片，杏仁50粒，槐白皮1片。,浸10余日，炸枯，滤去滓，入血余1团，蛤蟆1个，白花蛇1条，徐徐煎化，再滤滓净，入飞黄丹10两成膏，加乳香、没药各2钱。,,鼠疮。,,,,,,,,,,https://db.yaozh.com/fangji/10002676.html
白龙膏,,,《圣惠》卷六十五,,,腻粉1分，乳香半两（细研），湿百合根1两（烂研）。,上药相和研令匀熟。,,诸恶疮肿，人不识者。,,,,,,,,,,https://db.yaozh.com/fangji/10002677.html
白龙骨丸,阿胶丸,,《圣惠》卷九十三,,,白龙骨半两，白石脂半两，鸡屎矾（烧令汁尽）半两，黄连（去根，微炒）半两，胡粉（微炒）半两，白茯苓半两，阿胶（捣碎，炒令黄燥）半两。,上为末，炼蜜为丸，如麻子大。,,小儿疳痢不止。,,,,,,,,,,https://db.yaozh.com/fangji/10002678.html
白龙骨丸,,,《普济方》卷二O一,,,白龙骨、白善、白石膏、白矾各等分。,上为末，滴水为丸，如梧桐子大，入干锅，火煅红为度。,,吐泻。,,,,,,,,,,https://db.yaozh.com/fangji/10002679.html
白龙骨丸,,,《圣济总录》卷九十一,,,白龙骨1两，韭子（炒）半两，补骨脂（炒）1两，肉苁蓉（酒浸，切、焙）1两，菟丝子（酒浸，别捣）半两。,上为末，酒煮面糊为丸，如梧桐子大。,,虚劳，元气虚弱，精滑不禁，腰脊疼痛。,,,,,,,,,,https://db.yaozh.com/fangji/10002680.html
白龙骨丸,,,《医统》卷八十七,,,白龙骨、牡蛎（大白者，火煅赤）各等分。,上为末，酒糊为丸，如梧桐子大。,,小便白浊。,,,,,,,,,,https://db.yaozh.com/fangji/10002681.html
白龙捧疮膏,,,《寿世保元》卷九,,,腊猪油1两7钱，白蜡5钱，轻粉5钱，定粉5钱，黄蜡3钱，朝脑2钱5分，乳香1钱，没药2钱，冰片1分。,上为末，先以猪油同二蜡化开，入群药末调。,,杖疮。,,,,,,,,,,https://db.yaozh.com/fangji/10002682.html
白龙散,,,《证治准绳?类方》卷八,,,白矾（枯）、铅丹、 龙骨各15克， 麝香3克。,上研极细。,,燥湿敛疮，消肿止痛。小儿肾热，上冲于耳，津液结滞，作痛流脓；或因沐浴水入耳内，蕴积成热，耳流脓汁。,,,,,,,,,,https://db.yaozh.com/fangji/10002683.html
白龙散,,,《不知医必要》卷二,,,枯矾4分，龙骨1钱5分。,上为末。,,耳有脓水不干。,,,,,,,,,,https://db.yaozh.com/fangji/10002684.html
白龙散,,,《幼幼新书》卷十八引王兑方,,,乌牛粪不拘多少（晒干，火煅成灰，取心中白者，研令极细），（一方用黄牛粪）。,,,小儿麻痘疮子，已出太盛，发溃，脓水粘衣着席不能转动，疼痛湿烂。,,,,,,,,,,https://db.yaozh.com/fangji/10002685.html
白龙散,,,《中藏经?附录》卷七,,,寒水石（生）、甘草（半生半炙）、葛粉各等分。,上为细末。,,消渴。,,,,,,,,,,https://db.yaozh.com/fangji/10002686.html
白龙散,,,《圣济总录》卷一六七,,,天浆子（有虫者）1枚，白僵蚕（直者，炒）1枚。,上为散。,,小儿脐风。,,,,,,,,,,https://db.yaozh.com/fangji/10002687.html
白龙散,,,《圣济总录》卷一三五,,,蛤粉2两，白矾2两，青盐1两。,上为末。,,热肿赤痛。,,,,,,,,,,https://db.yaozh.com/fangji/10002688.html
白龙散,,,《圣济总录》卷一三二,,,龙脑半钱，马牙消半钱，绿豆粉1钱。,上为极细末。,,睛漏疮，目大眦出脓汁，有孔子。,,,,,,,,,,https://db.yaozh.com/fangji/10002689.html
白龙散,,,《证类本草》卷三引《经验方》,,,马牙消（光净者）。,用厚纸裹令按实，按在怀内着肉处养120日，取出，研如粉，入少龙脑，同研细。,,退翳明目。主治不计年岁深远，眼内生翳膜，渐渐昏暗，远视不明，但瞳人不破散;目生胬肉，或痒或痛不可忍。,,,,,,,,,,https://db.yaozh.com/fangji/10002690.html
白龙散,,,《御药院方》卷九,,,西硼砂1钱，铅霜1字，脑子1字，寒水石1两（水飞）。,上为细末。,,大人小儿咽喉肿痛，满口生疮。,,,,,,,,,,https://db.yaozh.com/fangji/10002691.html
白龙散,,,《杨氏家藏方》卷二十,,,柑子皮、白梅、象牙屑各等分。,上为细散。,,鱼骨硬。,,,,,,,,,,https://db.yaozh.com/fangji/10002692.html
白龙散,,,《幼幼新书》卷二十引《张氏家传》,,,龙骨半两，麝少许。,上为细末。,,盗汗。,,,,,,,,,,https://db.yaozh.com/fangji/10002693.html
白龙汤,,,《万病回春》卷四,,,桂枝 白芍（酒炒）龙骨（煅）牡蛎（煅）甘草（炙）各9克,,,男子失精，女子梦交，自汗盗汗。,,,,,,,,,,https://db.yaozh.com/fangji/10002694.html
白龙丸,,,《普济方》卷二九九,,,南硼砂1钱半，缩砂1钱，地栗30个（去皮），甘草2钱，寒水石2钱（烧），白僵蚕（直者）30个，桂心2钱，白茯苓2钱。,上为细末，水为丸，如小豆大，蛤粉为衣。,,一切口内诸疮。,,,,,,,,,,https://db.yaozh.com/fangji/10002695.html
白龙丸,,,《永类钤方》卷二十一,,,附子（炮）半两，白石脂（煅）、白龙骨（煅）1分（一方加白矾，煅，1分）。,上为末，面糊为丸，如小豆大。,,小儿吐泻不定，滑泄注水，小便少。,,,,,,,,,,https://db.yaozh.com/fangji/10002696.html
白龙丸,辅龙丹,,《解围元薮》卷三,,,乳香、没药、川乌、草乌、地龙、南星各等分。,上为末，酒糊为丸。,,风湿，腰胯以上至肩背大痛，肘膊僵软，匙箸难举，伛偻脊高。,,,,,,,,,,https://db.yaozh.com/fangji/10002697.html
白龙丸,,,《医学纲目》卷二十六引丹溪方,,,半夏、滑石、茯苓、白矾（枯）各等分。,上为末，神曲糊为丸。,,酒积有痰。,,,,,,,,,,https://db.yaozh.com/fangji/10002698.html
白龙丸,,,《医方类聚》卷六十二引《经验秘方》,,,滑石2两（研碎，水飞过，焙干）。,用酒或醅糊为丸，如弹子大。,,伤寒。,,,,,,,,,,https://db.yaozh.com/fangji/10002699.html
白龙丸,,,《医方类聚》卷二十引《神巧万全方》,,,石膏半斤（火煅过，如面，分为3停，留1停为衣），川乌头（去皮）4两，甘草4两，天南星4两（各生用），肉桂2两，甘菊花2两，防风1两半，白僵蚕1两半，京芎1两半，牛膝1两，海桐皮（去皮，水浸）1两，麻黄（去节用）1两，甘松（洗）1两，川白芷1两，藁本（洗）1两。,上为散，研和令匀，用糯米拣择净煮粥研烂，旋旋入药和匀，杵为剂，丸如大鸡头子大，微干上衣。,,头风，并诸般风疾。,,,,,,,,,,https://db.yaozh.com/fangji/10002700.html
白龙丸,,,《圣济总录》卷六十五,,,半夏10枚（大者，汤洗去滑，生姜汁制，切，焙，捣末），硇砂1钱（去砂石，研），巴豆8粒（去皮心膜，研，不出油。以上3味同用枣肉和搜为剂，外以生白面裹，烧面熟为度，去面不用），腻粉1钱，粉霜1钱，龙脑1字（以上3味细研）。,上同和捣匀，为丸如麻子大。,,大人小儿，上喘咳嗽，呀呷有声，痰涎痞闷。,,,,,,,,,,https://db.yaozh.com/fangji/10002701.html
白龙丸,,,《扁鹊心书?神方》,,,天南星4两（以生姜4两同捣成饼），川乌2两，甘草2两，藁本2两，甘松2两，白芷2两，桂心2两，海桐皮1两，石膏2两（煅，研极细）。,上为末，糯米糊为丸，如弹子大，石膏为衣。,,风邪，言语不遂，面如虫行，手足麻木，头旋眼晕，及伤风伤寒，头痛拘急，小儿急慢惊风，大人风抽失音。,,,,,,,,,,https://db.yaozh.com/fangji/10002702.html
白龙丸,,,《普济方》卷四十六引《博济》,,,白附子（炮）半两，附子（炮裂，去皮脐）半两，半夏（洗去滑，切，焙）半两，天南星（炮）半两，麝香（研）少许，凝水石3两（用炭火3斤煅通赤，埋于地坑内，出火毒，候冷取出），乌头（炮裂，去皮脐）1两，龙脑（研）少许。,上为细末，用面糊为丸，如豌豆大。,,首风，每发头痛难忍。,,,,,,,,,,https://db.yaozh.com/fangji/10002703.html
白龙丸,,,《古今医鉴》卷八,,,鹿角霜2两，龙骨（生用）1两，牡蛎（火煅）2两。,上为细末，酒打面糊为丸，如梧桐子大。,,固精壮阳。主治虚劳肾损，梦中遗精，白淫滑泄，盗汗。,,,,,,,,,,https://db.yaozh.com/fangji/10002704.html
白龙丸,,,《饲鹤亭集方》,,,生军2两，生半夏1两，北辛2两。,上为末，鸡子清为丸。,,湿热下注，淋浊初起，小便涩痛。,,,,,,,,,,https://db.yaozh.com/fangji/10002705.html
白龙丸,,,《中国医学大辞典》,,,川大黄4两，穿山甲4两，雄黄4两，僵虫4两，乳香3两，没药3两。,上为细末，酒泛为丸，滑石6两为衣。,,湿热下注，淋浊初起，小便涩痛。,,,,,,,,,,https://db.yaozh.com/fangji/10002706.html
白龙丸,辅龙丹,,《医方类聚》卷二十四引《施圆端效方》,,,白附子1两，明天麻1两，藁本（去土）1两，缩砂仁1两，荆芥穗1两，川羌活1两，细辛（去叶）1两，川独活1两，薄荷叶1两，藿香叶1两，麻黄（去根节）1两，甘松（去土）1两，葛根2两，防风2两，白芷2两，川芎2两，桔梗2两，香附子（炒）2两，甘草（炒）2两，川乌（生，去皮）2两，石膏2两，寒水石（烧）1斤半。,上为细末，鹅梨汁为丸，每两作10丸，别用水石粉为衣，阴干。,,男子妇人，卒暴中风，口眼?斜，神昏涎堵，筋脉拘急，肢体顽痹，头目旋运，呕逆恶心，皮肤瘙痒，偏正头疼，暗风倒仆，男子肾风，妇人血风，伤风咳嗽，声重，鼻渊，小儿慢惊，吐泻霍乱，手足厥冷，湿风痓病，瘈疭潮搐，昏乱不省，一切诸风。,,,,,,,,,,https://db.yaozh.com/fangji/10002707.html
白龙圆,,,《宋?太平惠民和剂局方》,,,细辛、白芷、川芎、甘草，各等分。为细末，用药四两，入石膏末一斤，系煅了者，水搜为圆，每两八粒。,,,治男子、妇人一切风，遍身疮癣，手足顽麻，偏正头疼，鼻塞脑闷，大解伤寒，治头风。,,,,,,,,,,https://db.yaozh.com/fangji/10002708.html
白鹿洞方,,,《洞天奥旨》卷十六,,,大风肉4两，明天麻4两（酒浸），川防风（去芦）4两，汉防己4两，香白芷4两（酒浸），独活2两，苏薄荷2两，全蝎3两（洗去盐足），僵蚕（炙，去足）6两，蝉蜕（去足）6两，金头蜈蚣（炙，去头足）2两，蕲蛇8两（酒浸，焙），川山甲2两（烧），狗脊4两（去毛，酒浸），白菊花4两，大何首乌4两（忌铁），川当归6两（酒浸），好苦参（净）4两，大川芎1两，赤芍6两，山栀仁2两（炒），连翘（净）2两，白苏2两。,上为末，酒糊为丸，如梧桐子大。,,大麻风，眉毛脱落，手足拳挛，皮肉溃烂，唇翻眼锭，口歪身麻，肉不痛痒，面生红紫斑。,,,,,,,,,,https://db.yaozh.com/fangji/10002709.html
白螺壳丸,,,方出《丹溪心法》卷四，名见《医学正传》卷四,,,螺蛳壳2两（墙上年久者，烧），滑石2两（炒），苍术2两，山栀2两，香附2两，南星2两，枳壳半两，青皮半两，木香半两，半夏半两，砂仁半两。,上为末，生姜汁浸蒸饼为丸，如绿豆大。,,痰积胃脘作痛。,,,,,,,,,,https://db.yaozh.com/fangji/10002710.html
白螺散,生肌散,,《本草纲目》卷四十六引《医方摘要》,,,（墙上）白螺蛳壳（洗净，煅研）。,,,痘疮不收。,,,,,,,,,,https://db.yaozh.com/fangji/10002711.html
白螺散,,,《种福堂方》卷四,,,白螺蛳不拘多少，片脑少许。,,,痘抓破。,,,,,,,,,,https://db.yaozh.com/fangji/10002712.html
白螺丸,,,《丹溪心法》卷四,,,螺蛳壳（墙上年久者，烧）、滑石（炒）、苍术、 山栀、 香附、 南星各60克， 枳壳、 青皮、 木香、 半夏、 砂仁各15克。,上为细末，生姜汁浸蒸饼为丸，如绿豆大。,,痰饮积聚，胃脘疼痛。,,,,,,,,,,https://db.yaozh.com/fangji/10002713.html
白闾茹散,,,《肘后方》卷五,,,白闾茹。,上为散。,,痈疽生臭恶肉者。,,,,,,,,,,https://db.yaozh.com/fangji/10002714.html
白绿丹,,,《洞天奥旨》卷十二,,,人中白1钱（煅），铜绿3分，麝香1分，蚯蚓2条（葱白汁浸，火炙，为末）。,上药各为细末。,,走马牙疳。,,,,,,,,,,https://db.yaozh.com/fangji/10002715.html
白绿散,,,《医统》卷六十三,,,白芷、铜绿各等分。,上为细末。,,口舌疮，不能食。,,,,,,,,,,https://db.yaozh.com/fangji/10002716.html
白麻(艹黙)皮散,,,《圣惠》卷八十九,,,白麻（艹黙）皮1两，花胭脂半两。,上为末。,,小儿通耳。,,,,,,,,,,https://db.yaozh.com/fangji/10002717.html
白马茎丸,,,《千金》卷二十,,,白马茎8分，赤石脂8分，石韦8分，天雄8分，远志8分，山茱萸8分，菖蒲8分，蛇床子8分，薯蓣8分，杜仲8分，肉苁蓉8分，柏子仁8分，石斛8分，续断8分，牛膝8分，栝楼根8分，细辛8分，防风8分。,上为末，白蜜为丸，如梧桐子大。,,,,,,,,,,,,https://db.yaozh.com/fangji/10002718.html
白马毛散,,,《千金》卷四,,,白马毛2两，龟甲4两，鳖甲18铢，牡蛎1两18铢。,上药治下筛。,,带下。,,,,,,,,,,https://db.yaozh.com/fangji/10002719.html
白马蹄散,,,《太平圣惠方》卷六十七,,,"白马蹄90克（烧令烟尽）,栗子黄30克（阴干）,桂心22克, 蒲黄30克, 龟壳60克（涂酥炙微黄）。",上药捣细罗为散。,,伤折。（跌打损伤）,,,,,,,,,,https://db.yaozh.com/fangji/10002720.html
白马蹄散,马蹄散（《千金翼方》卷二十）。,,《刘涓子鬼遗方》卷二,,,白马蹄（烧令烟尽）,上捣筛。,,打伤，腹中瘀血；妇人血疾。,,,,,,,,,,https://db.yaozh.com/fangji/10002721.html
白马蹄散,马蹄散,,《鬼遗》卷二,,,白马蹄。,烧令烟尽，治下筛。,,避鬼气恶毒，蛊疰不祥，破瘀结。主治跌打腹中瘀血；亦治妇人血疾。,,,,,,,,,,https://db.yaozh.com/fangji/10002722.html
白马蹄散,,,《圣济总录》卷一五二,,,白马蹄（炙黄）1两半，龟甲（醋炙）2两，鳖甲牡蛎（煅）3分。,上为散。,,带下久不愈。,,,,,,,,,,https://db.yaozh.com/fangji/10002723.html
